Altium Designer Pick and Place Locations
X:\ENGENHARIA DE PRODUTO\PROJETOS\LAYOUT\PCI MODULO DE ADAPTACAO VW1101M-8 CC1190 915MHZ\10384 R1.0 - ALAN\.\10384 R1.0 - Gerber\Pick Place\Pick Place for 10384 R1.0 - PAINEL.txt

========================================================================================================================
File Design Information:

Date:       29/01/26
Time:       09:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment          Layer    Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                   
R1         10k              TopLayer 0603_R_-_Reflow                   -1.0764      36.9957      0        "Resistor SMD 0603"           
U1         VW1101M          TopLayer VW1101M                           1.9128       15.5448      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   6.1750       30.5857      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        3.1061       34.6734      90       ""                            
Z2         0R               TopLayer 0603_RF                           2.1403       3.0699       270      0603                          
Z1         0R               TopLayer 0603_RF                           3.7896       3.0502       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   7.8261       42.9386      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   7.8261       44.4197      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     7.5821       45.9308      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     6.1492       35.3143      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     8.5761       38.7151      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   6.9426       32.8335      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   10.8871      45.9724      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   10.8871      44.4889      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   10.8871      42.9856      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   10.8691      37.6487      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   10.8581      39.6901      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   7.6739       35.3646      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 10.9481      31.5584      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      11.4491      10.7977      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   -1.0788      39.9873      0        "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   -1.0938      38.5062      0        "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         3.2534       42.8175      270      ""                            
Z4         ""               TopLayer 0603_RF                           2.3363       27.5896      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     -4.3701      34.0232      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              -4.3641      29.4740      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           3.1181       29.8171      90       0603                          
Z5         ""               TopLayer 0603_RF                           3.9132       32.0576      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   7.7695       41.3336      0        "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    13.8669      0.0071       90       ""                            
P2         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    0.0051       0.0071       90       ""                            
P1         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    0.0050       29.9510      90       ""                            
L5         3nH              TopLayer 0603_L_-_WAVE                     -4.3701      39.0578      270      "Indutor SMD 0603"            
L6         7.5nH            TopLayer 0603_L_-_WAVE                     -4.3629      45.5344      270      "Indutor SMD 0603"            
L7         10nH             TopLayer 0603_L_-_WAVE                     3.1466       38.3134      270      "Indutor SMD 0603"            
C10        0.5pF            TopLayer 0603_C_-_REFLOW                   -3.5885      31.5240      180      "Capacitor Cerâmico SMD 0603" 
C11        7.5pF            TopLayer 0603_C_-_REFLOW                   -5.1613      36.5523      0        "Capacitor Cerâmico SMD 0603" 
C12        3.3pF            TopLayer 0603_C_-_REFLOW                   -5.1613      41.5629      0        "Capacitor Cerâmico SMD 0603" 
C9         47pF             TopLayer 0603_C_-_REFLOW                   -3.5947      43.0674      180      "Capacitor Cerâmico SMD 0603" 
C14        12pF             TopLayer 0603_C_-_REFLOW                   -2.1056      46.5331      0        "Capacitor Cerâmico SMD 0603" 
C15        12pF             TopLayer 0603_C_-_REFLOW                   -0.7102      44.7977      180      "Capacitor Cerâmico SMD 0603" 
C13        0.8pF            TopLayer 0603_C_-_REFLOW                   4.6611       38.1400      90       "Capacitor Cerâmico SMD 0603" 
R1         10k              TopLayer 0603_R_-_Reflow                   20.8236      36.9957      0        "Resistor SMD 0603"           
U1         VW1101M          TopLayer VW1101M                           23.8128      15.5448      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   28.0750      30.5857      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        25.0061      34.6734      90       ""                            
Z2         0R               TopLayer 0603_RF                           24.0403      3.0699       270      0603                          
Z1         0R               TopLayer 0603_RF                           25.6896      3.0502       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   29.7261      42.9386      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   29.7261      44.4197      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     29.4821      45.9308      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     28.0492      35.3143      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     30.4761      38.7151      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   28.8426      32.8335      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   32.7871      45.9724      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   32.7871      44.4889      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   32.7871      42.9856      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   32.7691      37.6487      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   32.7581      39.6901      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   29.5739      35.3646      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 32.8481      31.5584      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      33.3491      10.7977      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   20.8212      39.9873      0        "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   20.8062      38.5062      0        "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         25.1534      42.8175      270      ""                            
Z4         ""               TopLayer 0603_RF                           24.2363      27.5896      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     17.5299      34.0232      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              17.5359      29.4740      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           25.0181      29.8171      90       0603                          
Z5         ""               TopLayer 0603_RF                           25.8132      32.0576      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   29.6695      41.3336      0        "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    35.7669      0.0071       90       ""                            
P2         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    21.9051      0.0071       90       ""                            
P1         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    21.9050      29.9510      90       ""                            
L5         3nH              TopLayer 0603_L_-_WAVE                     17.5299      39.0578      270      "Indutor SMD 0603"            
L6         7.5nH            TopLayer 0603_L_-_WAVE                     17.5371      45.5344      270      "Indutor SMD 0603"            
L7         10nH             TopLayer 0603_L_-_WAVE                     25.0466      38.3134      270      "Indutor SMD 0603"            
C10        0.5pF            TopLayer 0603_C_-_REFLOW                   18.3115      31.5240      180      "Capacitor Cerâmico SMD 0603" 
C11        7.5pF            TopLayer 0603_C_-_REFLOW                   16.7387      36.5523      0        "Capacitor Cerâmico SMD 0603" 
C12        3.3pF            TopLayer 0603_C_-_REFLOW                   16.7387      41.5629      0        "Capacitor Cerâmico SMD 0603" 
C9         47pF             TopLayer 0603_C_-_REFLOW                   18.3053      43.0674      180      "Capacitor Cerâmico SMD 0603" 
