Altium Designer Pick and Place Locations
C:\Users\6\Desktop\Altium Projetos\PCI MODULO DE ADAPTACAO VW1101M-8 CC1190 915MHZ\10384 R1.0\.\10384 R1.0 - Gerber\Pick Place\Pick Place for 10384 R1.0 - PAINEL.txt

========================================================================================================================
File Design Information:

Date:       28/01/26
Time:       17:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment          Layer    Footprint                         Center-X(mm) Center-Y(mm) Rotation Description                   
U1         VW1101M          TopLayer VW1101M                           1.8978       15.5487      90       "Módulo RF"                   
C1         100nF            TopLayer 0603_C_-_REFLOW                   6.1600       30.5896      90       "Capacitor Cerâmico SMD 0603" 
U3         NS-FREQ          TopLayer FILTRO_SAW                        3.0911       34.6773      90       ""                            
Z2         0R               TopLayer 0603_RF                           2.1253       3.0738       270      0603                          
Z1         0R               TopLayer 0603_RF                           3.7746       3.0541       270      0603                          
R5         47R              TopLayer 0603_R_-_Reflow                   7.8111       42.9425      0        "Resistor SMD 0603"           
R4         10R              TopLayer 0603_R_-_Reflow                   7.8111       44.4236      0        "Resistor SMD 0603"           
L3         22nH             TopLayer 0603_L_-_WAVE                     7.5671       45.9347      180      "Indutor SMD 0603"            
L2         11nH             TopLayer 0603_L_-_WAVE                     6.1342       35.3182      270      "Indutor SMD 0603"            
L1         1.5nH            TopLayer 0603_L_-_WAVE                     8.5611       38.7190      90       "Indutor SMD 0603"            
C8         220pF            TopLayer 0603_C_-_REFLOW                   6.9276       32.8374      180      "Capacitor Cerâmico SMD 0603" 
C7         47pF             TopLayer 0603_C_-_REFLOW                   10.8721      45.9763      180      "Capacitor Cerâmico SMD 0603" 
C6         1nF              TopLayer 0603_C_-_REFLOW                   10.8721      44.4928      180      "Capacitor Cerâmico SMD 0603" 
C5         1uF              TopLayer 0603_C_-_REFLOW                   10.8721      42.9895      180      "Capacitor Cerâmico SMD 0603" 
C4         15pF             TopLayer 0603_C_-_REFLOW                   10.8541      37.6526      180      "Capacitor Cerâmico SMD 0603" 
C3         27pF             TopLayer 0603_C_-_REFLOW                   10.8431      39.6940      180      "Capacitor Cerâmico SMD 0603" 
C2         10uF             TopLayer 0603_C_-_REFLOW                   7.6589       35.3685      90       "Capacitor Cerâmico SMD 0603" 
CON1       ""               TopLayer CON_3_VIAS_ILHA_QUADRADA_COM_FURO 10.9331      31.5623      90       "CON 3 VIAS"                  
CON2       "11 PINOS"       TopLayer BARRA_DE_TERMINAL_F_11X1_2mm      11.4341      10.8016      270      "BARRA DE TERMINAL"           
R3         10k              TopLayer 0603_R_-_Reflow                   -1.0938      39.9912      360      "Resistor SMD 0603"           
R2         10k              TopLayer 0603_R_-_Reflow                   -1.1088      38.5101      360      "Resistor SMD 0603"           
R1         10k              TopLayer 0603_R_-_Reflow                   -1.0914      36.9996      180      "Resistor SMD 0603"           
U2         CC1190RGVR       TopLayer SPVQN-N16                         3.2384       42.8214      270      ""                            
Z4         ""               TopLayer 0603_RF                           2.3213       27.5935      180      0603                          
L4         9.1nH            TopLayer 0603_L_-_WAVE                     -4.3851      34.0271      270      "Indutor SMD 0603"            
CON3       IPEX             TopLayer CON_RF_IPEX_UMCC_MHF              -4.3791      29.4779      180      "Conector RF"                 
Z3         0R               TopLayer 0603_RF                           3.1031       29.8210      90       0603                          
Z5         ""               TopLayer 0603_RF                           3.8982       32.0615      180      0603                          
R6         3.3k             TopLayer 0603_R_-_Reflow                   7.7545       41.3375      360      "Resistor SMD 0603"           
P3         "PONTO FIDUCIAL" TopLayer PONTO_FIDUCIAL                    13.8519      0.0110       90       ""                            
